title,current price,original price,rating,reviews,off percentage
"        ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W       ","62,990.",83990.0,4.1 out of 5 stars,489 ratings,-25%
"        ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/1TB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ1297WS       ","52,990.",75990.0,3.9 out of 5 stars,21 ratings,-30%
"        ASUS Vivobook 16X,Smartchoice,Intel Core i7-13620H,Creator/Gaming Laptop(RTX 3050-4GB/16GB RAM/512GB SSD/FHD+/16""/144Hz/M365 Basic (1Year)*/Office Home 2024/Cool Silver/1.8 Kg) K3605VC-RP492WS       ","68,990.",102990.0,3.3 out of 5 stars,12 ratings,-33%
"        HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2100/03/04tx, Gaming Laptop       ","81,990.",100585.0,3.5 out of 5 stars,68 ratings,-18%
"        Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey       ","1,44,990.",174900.0,4.6 out of 5 stars,50 ratings,-17%
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Silver       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3118AX, Backlit, DTS Audio, Gaming Laptop       ","79,990.",95746.0,3.8 out of 5 stars,232 ratings,-16%
"        Acer Aspire Lite, Intel Core i5 13th Gen - 1334U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-53, Metal Body, Thin and Light Premium Laptop       ","40,490.",77999.0,3.7 out of 5 stars,49 ratings,-48%
"        HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 1TB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0015QU, Light-Weight, Next-Gen AI Laptop       ","67,990.",88226.0,3.9 out of 5 stars,46 ratings,-23%
"        ASUS Vivobook 16,Intel Core Ultra 5 (Series 2),Thin & Light(Intel iGPU/16GB RAM/512GB SSD/FHD+/16""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Blue/1.88 kg) X1607CA-MB139WS       ","65,990.",92990.0,4.4 out of 5 stars,38 ratings,-29%
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        HP 15,Intel Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop       ","70,490.",78719.0,4.0 out of 5 stars,"1,648 ratings",-10%
"        HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop       ","35,490.",52721.0,4.0 out of 5 stars,643 ratings,-33%
"        Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN       ","61,990.",89390.0,4.0 out of 5 stars,251 ratings,-31%
"        Lenovo Smartchoice LOQ AMD Ryzen 7 7435HS, NVIDIA RTX 4050-6GB, 24GB RAM, 512GB SSD, 15.6""/39.6cm, Windows 11, MS Office Home 2024, Grey, 2.4Kg, 83JC00EGIN, 100% sRGB, 3 Mon. Game Pass Gaming Laptop       ","83,990.",110890.0,4.1 out of 5 stars,191 ratings,-24%
"        HP Pavilion Plus, 13th Gen Intel Core i5-1335U Laptop (16GB DDR5, 512GB SSD) IPS WUXGA Anti-Glare, 14""/35.6cm, Win 11, Office 21, Silver, 1.44kg, Intel Iris Xe Graphics, 5MP IR Camera, ew0116TU       ","68,990.",85966.0,4.0 out of 5 stars,51 ratings,-20%
"        ASUS TUF A15, AMD Ryzen 7 7445HS, Gaming Laptop(RTX 3050-4GB/75W TGP/32GB RAM/1TB SSD/FHD/15.6""/144Hz/Backlit Keyboard/48Whrs/Windows 11/Graphite Black/2.3 Kg) FA506NCG-HN250W       ","75,990.",94990.0,4.1 out of 5 stars,489 ratings,-20%
"        HP 15, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6’’/39.6cm, Win11, M365(1yr)* Office 24, Silver, 1.59kg, Iris Xe, FHD Camera w/Shutter, Backlit Laptop fd0468tu/fd0515tu       ","63,990.",77507.0,3.9 out of 5 stars,84 ratings,-17%
"        HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, M365* Office24, Blue, 2.29kg, fb3134AX/3120ax, Gaming Laptop       ","66,990.",84838.0,3.8 out of 5 stars,232 ratings,-21%
"        Lenovo IdeaPad Slim 5 Ryzen 7 7735HS (16GB RAM/512GB SSD/Integrated AMD Radeon 680M Graphics/WUXGA IPS Display/13.3"" (33.7cm)/Windows 11/Office Home 2024/Backlit KB/Grey/1.15Kg), 83J2000HIN Laptop       ","59,849.",78890.0,3.6 out of 5 stars,35 ratings,-24%
"        Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black       ","2,01,990.",209900.0,3.4 out of 5 stars,8 ratings,-4%
"        Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight       ","1,27,990.",154900.0,4.6 out of 5 stars,91 ratings,-17%
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        Lenovo IdeaPad Slim 5 Intel Core Ultra 7 155H Built-in AI 16"" (40.64cm) WUXGA-IPS 300Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/100% sRGB/MSO/1Yr ADP Free/3 Month Game Pass/Grey/1.8Kg), 83DC008VIN       ","86,990.",130090.0,4.0 out of 5 stars,11 ratings,-33%
"        HP 15, AMD Ryzen 7 7735HS (16GB DDR5,512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc1038AU, AMD Radeon FHD Camera w/Shutter, Backlit Laptop       ","57,990.",72718.0,3.9 out of 5 stars,"1,375 ratings",-20%
"        ASUS Vivobook 16, Smartchoice, AMD Ryzen AI 7 350, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Light Gray, 1.88Kg, M1607KA-MB134WS, AMD Radeon iGPU, 42Whr, M365 Basic (1Year)* Laptop       ","90,990.",124990.0,4.0 out of 5 stars,8 ratings,-27%
"        Lenovo LOQ, Intel Core i7 13th Gen 13700HX, NVIDIA RTX 5050 8GB, 16GB RAM, 1TB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office 2024, Grey, 2.4Kg, 83JE00U7IN, 440 AI Tops, 3 Mon. Game Pass Gaming Laptop       ","1,12,190.",148090.0,4.6 out of 5 stars,3 ratings,-24%
"        Lenovo IdeaPad Slim 3, Intel Core i7-13620H, 13th Gen, 16GB RAM, 512GB SSD, FHD IPS 300 Nits, 15""/38.1cm, Windows 11, MSOffice 21, Grey, 1.6Kg, 83EM008GIN,1Yr ADP Free,Alexa Built-in Laptop       ","60,750.",95000.0,4.1 out of 5 stars,436 ratings,-36%
"        ASUS Zenbook 14, Smartchoice,AMD Ryzen AI 5 340, AI PC(AMD Radeon Graphics/16GB RAM/512GB SSD/3K OLED/14/120Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jade Black/1.2 Kg) UM3406KA-PP240WS       ","87,990.",117990.0,4.1 out of 5 stars,10 ratings,-25%
"        Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight       ","1,34,114.",174900.0,4.6 out of 5 stars,50 ratings,-23%
"        Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Starlight       ","1,20,990.",124900.0,4.6 out of 5 stars,65 ratings,-3%
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3118AX, Backlit, DTS Audio, Gaming Laptop       ","79,990.",95746.0,3.8 out of 5 stars,232 ratings,-16%
"        ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Cool Silver, 1.88kg, X1607QA-MB050WS, Qualcomm Adreno iGPU, 45TOPS, M365 Basic(1Year)* Laptop       ","52,990.",84990.0,4.2 out of 5 stars,58 ratings,-38%
"        Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.62Kg), 83ER00KPIN/83ER00KRIN       ","45,475.",72690.0,3.9 out of 5 stars,291 ratings,-37%
"        Dell 15DC15250, Intel Core i5 13th Gen - 1334U, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'24, Silver, 1.62kg, Backlit Keyboard, 15 Month McAfee, Thin & Light Laptop       ","54,990.",78409.0,3.8 out of 5 stars,121 ratings,-30%
"        HP 15, Intel Ultra 5 125H, 12 Tops (16GB DDR5, 512GB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.65kg, fd1254TU, Intel Graphics, FHD Camera w/Shutter, AI Powered Laptop       ","62,490.",83034.0,4.0 out of 5 stars,"1,648 ratings",-25%
"        ASUS Vivobook 16, 16"" FHD (1920 x 1200) OLED,Intel Core i5-13420H Processor,(16GB RAM/512GB SSD/Win 11/M365 Basic (1Year)*/Backlit Keyboard/Office Home 2024/Silver/1.88 kg),X1605VA-SH1952WS       ","55,990.",84990.0,4.0 out of 5 stars,359 ratings,-34%
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN       ","61,990.",89390.0,4.0 out of 5 stars,251 ratings,-31%
"        HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop       ","35,490.",52721.0,4.0 out of 5 stars,643 ratings,-33%
"        Acer Aspire Lite, 12th Gen, Intel Core i7-12650H Processor, 16 GB/1TB, Full HD IPS, 15.6""/39.62 cm, Win 11 Home, MS Office, Pure Silver, 1.70 kg, AL15-52H, Backlit Keyboard, Thin and Light Laptop       ","58,990.",80999.0,3.9 out of 5 stars,547 ratings,-27%
"        Lenovo Ideapad Slim 3 13Th Gen Intel Core I5-13420H 15.3""(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/3 Mon. Game Pass/Grey/1.6Kg) 83K100C6IN       ","54,158.",85990.0,5.0 out of 5 stars,2 ratings,-37%
"        Lenovo Yoga Slim 7, Intel Core Ultra 7 155H, 16GB RAM, 512GB SSD, WUXGA-OLED 14""(35.5cm), Windows 11, Office Home 2024, Grey, 1.39Kg, 83CV009XIN, 400Nits, 2Wx4 Speakers, 1Yr ADP Free, AI PC       ","86,990.",125890.0,3.5 out of 5 stars,12 ratings,-31%
"        ASUS Vivobook 15, Intel Core i7 13th Gen 13620H, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.70kg, X1502VA-BQ838WS, Intel UHD iGPU, M365 Basic (1Year)* Laptop       ","58,990.",85990.0,3.7 out of 5 stars,60 ratings,-31%
"        HP Victus Gaming Laptop, 12th Gen Intel Core i7-12650H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, B&O, Dual Speakers (MSO, Blue, 2.29 kg), fa1402TX       ","82,650.",125000.0,5.0 out of 5 stars,1 rating,-34%
"        Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Starlight       ","1,39,990.",144900.0,4.6 out of 5 stars,65 ratings,-3%
"        Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey       ","1,67,990.",174900.0,5.0 out of 5 stars,1 rating,-4%
"        HP Victus Gaming Laptop, 12th Gen Intel Core i7-12650H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, B&O, Dual Speakers (MSO, Silver, 2.29 kg), fa0187TX       ","79,560.",89999.0,4.7 out of 5 stars,8 ratings,-12%
"        MSI Katana A17 AI, AMD 8th Gen. Ryzen 9 8945HS,Built-in AI, 44CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/Black/2.6Kg), B8VE-884IN       ","93,990.",129990.0,4.4 out of 5 stars,54 ratings,-28%
